community,adi_author,titles_papers
6,103920,Sidestepping the Triangulation Problem in Bayesian Net Computations;A Method for Speeding Up Value Iteration in Partially Observable Markov Decision Processes;Fast Value Iteration for Goal-Directed Markov Decision Processes;Incremental Pruning: A Simple, Fast, Exact Method for Partially Observable Markov Decision Processes;Incremental computation of the value of perfect information in stepwise-decomposable influence diagrams;Region-Based Approximations for Planning in Stochastic Domains;Independence of Causal Influence and Clique Tree Propagation;Inter-causal Independence and Heterogeneous Factorization;Solving Asymmetric Decision Problems with Influence Diagrams
6,100228,New Results on Equilibria in Strategic Candidacy;Penalty logic and its Link with Dempster-Shafer Theory;Syntax-based Default Reasoning as Probabilistic Model-based Diagnosis;The Computational Complexity of Dominance and Consistency in CP-Nets;Possibilistic decreasing persistence;Group Activity Selection Problem;Plausible reasoning from spatial observations;A Logic of Graded Possibility and Certainty Coping with Partial Inconsistency;Possibility and Necessity Functions over Non-classical Logics
6,101893,A Dynamic Approach to Probabilistic Inference;Solving Asymmetric Decision Problems with Influence Diagrams;Building a Stochastic Dynamic Model of Application Use;Exploring Localization in Bayesian Networks for Large Expert Systems;Incremental computation of the value of perfect information in stepwise-decomposable influence diagrams;What is an Optimal Diagnosis?;Sidestepping the Triangulation Problem in Bayesian Net Computations;High Level Path Planning with Uncertainty;The use of conflicts in searching Bayesian networks;Representing Bayesian Networks within Probabilistic Horn Abduction
6,58554,Inter-causal Independence and Heterogeneous Factorization;Probabilistic Semantics and Defaults;Symmetric Collaborative Filtering Using the Noisy Sensor Model;Nonparametric Bayesian Logic;Constraint Processing in Lifted Probabilistic Inference;Seeing the Forest Despite the Trees: Large Scale Spatial-Temporal Decision Making
6,78646,Possibilistic Constraint Satisfaction Problems or "How to handle soft constraints?";Bounds Arc Consistency for Weighted CSPs;From influence diagrams to multi-operator cluster DAGs;Penalty logic and its Link with Dempster-Shafer Theory
6,31091,CORL: A Continuous-state Offset-dynamics Reinforcement Learner;A Bayesian Sampling Approach to Exploration in Reinforcement Learning;Learning is planning: near Bayes-optimal reinforcement learning via Monte-Carlo tree search;Incremental Pruning: A Simple, Fast, Exact Method for Partially Observable Markov Decision Processes;The Complexity of Plan Existence and Evaluation in Probabilistic Domains;Exploring compact reinforcement-learning representations with linear regression;Incremental Model-based Learners With Formal Learning-Time Guarantees;A Polynomial-time Nash Equilibrium Algorithm for Repeated Stochastic Games;Graphical Models for Game Theory;An Efficient Optimal-Equilibrium Algorithm for Two-player Game Trees
6,6474,Learning Belief Networks in Domains with Recursively Embedded Pseudo Independent Submodels;A Robust Quantum Random Access Memory;Exploring Parallelism in Learning Belief Networks;Exploring Localization in Bayesian Networks for Large Expert Systems
6,135504,The Complexity of Plan Existence and Evaluation in Probabilistic Domains;The Computational Complexity of Dominance and Consistency in CP-Nets
6,31206,A Monte-Carlo Algorithm for Dempster-Shafer Belief;The Computational Complexity of Dominance and Consistency in CP-Nets;The Assumptions Behind Dempster's Rule;Generating Graphoids from Generalised Conditional Probability;Rules, Belief Functions and Default Logic;Order-of-Magnitude Influence Diagrams
6,140321,Arguments using ontological and causal knowledge;Possibility and Necessity Functions over Non-classical Logics
