community,adi_author,titles_papers
6,100229,Plausible reasoning from spatial observations
6,31206,A Monte-Carlo Algorithm for Dempster-Shafer Belief;The Computational Complexity of Dominance and Consistency in CP-Nets;The Assumptions Behind Dempster's Rule;Generating Graphoids from Generalised Conditional Probability;Rules, Belief Functions and Default Logic;Order-of-Magnitude Influence Diagrams
6,100228,New Results on Equilibria in Strategic Candidacy;Penalty logic and its Link with Dempster-Shafer Theory;Syntax-based Default Reasoning as Probabilistic Model-based Diagnosis;The Computational Complexity of Dominance and Consistency in CP-Nets;Possibilistic decreasing persistence;Group Activity Selection Problem;Plausible reasoning from spatial observations;A Logic of Graded Possibility and Certainty Coping with Partial Inconsistency;Possibility and Necessity Functions over Non-classical Logics
6,135504,The Complexity of Plan Existence and Evaluation in Probabilistic Domains;The Computational Complexity of Dominance and Consistency in CP-Nets
6,101892,Building a Stochastic Dynamic Model of Application Use
6,101893,A Dynamic Approach to Probabilistic Inference;Solving Asymmetric Decision Problems with Influence Diagrams;Building a Stochastic Dynamic Model of Application Use;Exploring Localization in Bayesian Networks for Large Expert Systems;Incremental computation of the value of perfect information in stepwise-decomposable influence diagrams;What is an Optimal Diagnosis?;Sidestepping the Triangulation Problem in Bayesian Net Computations;High Level Path Planning with Uncertainty;The use of conflicts in searching Bayesian networks;Representing Bayesian Networks within Probabilistic Horn Abduction
6,101898,Probabilistic Arc Consistency: A Connection between Constraint Reasoning and Probabilistic Reasoning;A Dynamic Approach to Probabilistic Inference
6,101899,Probabilistic Arc Consistency: A Connection between Constraint Reasoning and Probabilistic Reasoning
6,103920,Sidestepping the Triangulation Problem in Bayesian Net Computations;A Method for Speeding Up Value Iteration in Partially Observable Markov Decision Processes;Fast Value Iteration for Goal-Directed Markov Decision Processes;Incremental Pruning: A Simple, Fast, Exact Method for Partially Observable Markov Decision Processes;Incremental computation of the value of perfect information in stepwise-decomposable influence diagrams;Region-Based Approximations for Planning in Stochastic Domains;Independence of Causal Influence and Clique Tree Propagation;Inter-causal Independence and Heterogeneous Factorization;Solving Asymmetric Decision Problems with Influence Diagrams
6,78646,Possibilistic Constraint Satisfaction Problems or "How to handle soft constraints?";Bounds Arc Consistency for Weighted CSPs;From influence diagrams to multi-operator cluster DAGs;Penalty logic and its Link with Dempster-Shafer Theory
6,140361,High Level Path Planning with Uncertainty;Incremental computation of the value of perfect information in stepwise-decomposable influence diagrams;Solving Asymmetric Decision Problems with Influence Diagrams
6,103921,A Method for Speeding Up Value Iteration in Partially Observable Markov Decision Processes
6,103922,A Method for Speeding Up Value Iteration in Partially Observable Markov Decision Processes;Fast Value Iteration for Goal-Directed Markov Decision Processes
6,106627,Ending-based Strategies for Part-of-speech Tagging;Probabilistic Semantics and Defaults
6,135496,Incremental Pruning: A Simple, Fast, Exact Method for Partially Observable Markov Decision Processes
6,135498,Exploring Parallelism in Learning Belief Networks
6,135505,The Complexity of Plan Existence and Evaluation in Probabilistic Domains
6,135529,Region-Based Approximations for Planning in Stochastic Domains
6,140321,Arguments using ontological and causal knowledge;Possibility and Necessity Functions over Non-classical Logics
6,140333,Penalty logic and its Link with Dempster-Shafer Theory
6,142895,Possibilistic decreasing persistence
6,146698,Exploring Localization in Bayesian Networks for Large Expert Systems
6,164906,The Computational Complexity of Dominance and Consistency in CP-Nets
6,164947,Bounds Arc Consistency for Weighted CSPs
6,164948,Bounds Arc Consistency for Weighted CSPs
6,164949,Bounds Arc Consistency for Weighted CSPs
6,165376,Arguments using ontological and causal knowledge
6,165377,Arguments using ontological and causal knowledge
6,6474,Learning Belief Networks in Domains with Recursively Embedded Pseudo Independent Submodels;A Robust Quantum Random Access Memory;Exploring Parallelism in Learning Belief Networks;Exploring Localization in Bayesian Networks for Large Expert Systems
6,31090,Learning is planning: near Bayes-optimal reinforcement learning via Monte-Carlo tree search;A Bayesian Sampling Approach to Exploration in Reinforcement Learning
6,31091,CORL: A Continuous-state Offset-dynamics Reinforcement Learner;A Bayesian Sampling Approach to Exploration in Reinforcement Learning;Learning is planning: near Bayes-optimal reinforcement learning via Monte-Carlo tree search;Incremental Pruning: A Simple, Fast, Exact Method for Partially Observable Markov Decision Processes;The Complexity of Plan Existence and Evaluation in Probabilistic Domains;Exploring compact reinforcement-learning representations with linear regression;Incremental Model-based Learners With Formal Learning-Time Guarantees;A Polynomial-time Nash Equilibrium Algorithm for Repeated Stochastic Games;Graphical Models for Game Theory;An Efficient Optimal-Equilibrium Algorithm for Two-player Game Trees
6,31208,Reversible Jump MCMC Simulated Annealing for Neural Networks;Bayesian Multi-Scale Optimistic Optimization;Predicting Parameters in Deep Learning;Exploiting correlation and budget constraints in Bayesian multi-armed bandit optimization;Theoretical Analysis of Bayesian Optimisation with Unknown Gaussian Process Hyper-Parameters;Learning about individuals from group statistics;Regret Bounds for Deterministic Gaussian Process Bandits;Distributed Parameter Estimation in Probabilistic Graphical Models;A Deep Architecture for Semantic Parsing;Rao-Blackwellised Particle Filtering for Dynamic Bayesian Networks;Adaptive Hamiltonian and Riemann Manifold Monte Carlo Samplers;Variational MCMC;Large-Flip Importance Sampling;Herded Gibbs Sampling;Intracluster Moves for Constrained Discrete-Space MCMC;Toward Practical N2 Monte Carlo: the Marginal Particle Filter;Bayesian Optimization in a Billion Dimensions via Random Embeddings;New inference strategies for solving Markov Decision Processes using reversible jump MCMC;Nonparametric Bayesian Logic;Exponential Regret Bounds for Gaussian Process Bandits with Deterministic Observations;Decentralized, Adaptive, Look-Ahead Particle Filtering;Asymptotic Efficiency of Deterministic Estimators for Discrete Energy-Based Models: Ratio Matching and Pseudolikelihood
6,55886,Eccentricity distributions in nucleus-nucleus collisions;Independence of Causal Influence and Clique Tree Propagation;Non linearities in the harmonic spectrum of heavy ion collisions with ideal and viscous hydrodynamics;LP-rounding Algorithms for the Fault-Tolerant Facility Placement Problem
6,58553,Nonparametric Bayesian Logic;Constraint Processing in Lifted Probabilistic Inference
6,58554,Inter-causal Independence and Heterogeneous Factorization;Probabilistic Semantics and Defaults;Symmetric Collaborative Filtering Using the Noisy Sensor Model;Nonparametric Bayesian Logic;Constraint Processing in Lifted Probabilistic Inference;Seeing the Forest Despite the Trees: Large Scale Spatial-Temporal Decision Making
6,58581,Seeing the Forest Despite the Trees: Large Scale Spatial-Temporal Decision Making
6,58582,Three-dimensional, self-similar, light in unstable canonical optical resonators;Seeing the Forest Despite the Trees: Large Scale Spatial-Temporal Decision Making
