Id,Label,0,modularity_class
"Miranda, P. B. C.","Miranda, P. B. C.",1;219;264;279,90
"Prudencio, R. B. C.","Prudencio, R. B. C.",1;87;154;166;219;264;277;316,90
"Carvalho, A. C. P. L. F.","Carvalho, A. C. P. L. F.",1;2;3;7;46,90
"Soares, C.","Soares, C.",1;2;319;368,90
"Rossi, A. L. D.","Rossi, A. L. D.",2;352,90
"Garcia, L. P. F.","Garcia, L. P. F.",3;208,112
"Lorena, A. C.","Lorena, A. C.",3;4;118;141;208;210;234;314;410,112
"Pisani, P. H.","Pisani, P. H.",4;141;210,112
"d. T. de Carvalho, F.","d. T. de Carvalho, F.",5;11,118
"Barbosa, G. B. N.","Barbosa, G. B. N.",5;61,118
"Ferreira, M. R. P.","Ferreira, M. R. P.",5,118
"Vallim, R. M. M.","Vallim, R. M. M.",7,90
"Filho, J. A. A.","Filho, J. A. A.",7,90
"Gama, J.","Gama, J.",7;46,90
"Coelho Naldi, M.","Coelho Naldi, M.",8,90
"Campello, R. J. G. B.","Campello, R. J. G. B.",8;54;165,90
"de Souto, M. C. P.","de Souto, M. C. P.",9,118
"Coelho, A. L. V.","Coelho, A. L. V.",9;86,118
"Faceli, K.","Faceli, K.",9;294;401,118
"Sakata, T. C.","Sakata, T. C.",9;294;401,118
"Bonadia, V.","Bonadia, V.",9,118
"Costa, I. G.","Costa, I. G.",9;11,118
"Macario, V.","Macario, V.",11;252;335;347,118
"Oliveira, J. F. L.","Oliveira, J. F. L.",11;51;324,118
"da Silva, A. J.","da Silva, A. J.",18;33;411;422;424,118
"Ludermir, T. B.","Ludermir, T. B.",18;31;33;51;88;98;142;155;186;201;212;265;275;283;324;348;376;411;424,118
"de Oliveira, W. R.","de Oliveira, W. R.",18;411;424,118
"Britto, A.","Britto, A.",29;30;99;200;284;304,45
"Pozo, A.","Pozo, A.",29;30;99;195;200;216;300;328;358;443,45
"Castro Junior, O. R.","Castro Junior, O. R.",30,45
"Figueiredo, E. M. N.","Figueiredo, E. M. N.",31;283,118
"Pierobom, J. L.","Pierobom, J. L.",32,45
"Delgado, M. R.","Delgado, M. R.",32;39;85;137;138;159;161;326;380,45
"Kaestner, C. A. A.","Kaestner, C. A. A.",32,45
"Mineu, N. L.","Mineu, N. L.",33,118
"Pintro, F.","Pintro, F.",35,118
"Canuto, A. M. P.","Canuto, A. M. P.",35;36;57;86;101;257;404,118
"Souza, G. R.","Souza, G. R.",36,45
"Goldbarg, E. F. G.","Goldbarg, E. F. G.",36;100;267;441,45
"Goldbarg, M. C.","Goldbarg, M. C.",36;100;137;267;441,45
"Pavelski, L. M.","Pavelski, L. M.",38;138;159;245;326,45
"Almeida, C. P.","Almeida, C. P.",38;159;245,45
"Goncalves, R. A.","Goncalves, R. A.",38;39;85;137;138;159;160;245;459;460;461,45
"Venske, S. M. S.","Venske, S. M. S.",39;85,45
"Spolaor, N.","Spolaor, N.",44;126,19
"Cherman, E. A.","Cherman, E. A.",44,19
"Monard, M. C.","Monard, M. C.",44;80;126,19
"Lee, H. D.","Lee, H. D.",44;58,19
"Faria, E. R.","Faria, E. R.",46;451,90
"Goncalves, I. J. C. R.","Goncalves, I. J. C. R.",46,90
"Pacifico, L. D. S.","Pacifico, L. D. S.",51;142;155;265;324;348,118
"Naldi, M. C.","Naldi, M. C.",54;157;170;449;451,90
"d. Souza, V. M. A.","d. Souza, V. M. A.",55,19
"Silva, D. F.","Silva, D. F.",55,19
"Batista, G. E. A. P. A.","Batista, G. E. A. P. A.",55;56;167;402,19
"Giusti, R.","Giusti, R.",56,19
"Santana, L. A.","Santana, L. A.",57,118
"Zalewski, W.","Zalewski, W.",58,19
"Silva, F.","Silva, F.",58;75;117,19
"Maletzke, A. G.","Maletzke, A. G.",58;402,19
"Wu, F. C.","Wu, F. C.",58,19
"d. A. T. d. Carvalho, F.","d. A. T. d. Carvalho, F.",60;61;188,118
"d. Melo, F. M.","d. Melo, F. M.",60,118
"Lechevallier, Y.","Lechevallier, Y.",60,118
"Pimentel, J. T.","Pimentel, J. T.",61,118
"Cerri, R.","Cerri, R.",63;221;369;398,112
"Barros, R. C.","Barros, R. C.",63;191;215;427,112
"d. Carvalho, A. C. P. L. F.","d. Carvalho, A. C. P. L. F.",63;208;210;221;224;255,112
"d. Morais, E. M.","d. Morais, E. M.",67,36
"Finger, M.","Finger, M.",67;72,36
"Pereira, V. F.","Pereira, V. F.",68,36
"Cozman, F. G.","Cozman, F. G.",68;72;78;149;238;271,36
"Santos, P. E.","Santos, P. E.",68;179;420,36
"Martins, M. F.","Martins, M. F.",68,36
"Herrmann, R. G.","Herrmann, R. G.",71,36
"d. Barros, L. N.","d. Barros, L. N.",71;77;107;108;226;271,36
"de Bona, G.","de Bona, G.",72,36
"Xavier, C. C.","Xavier, C. C.",73,50
"d. Lima, V. L. S.","d. Lima, V. L. S.",73,50
"Souza, M.","Souza, M.",73;360;417,50
"Ribas, B. C.","Ribas, B. C.",75,19
"Suguimoto, R. M.","Suguimoto, R. M.",75,19
"Montano, R. A. N. R.","Montano, R. A. N. R.",75,19
"Castilho, M.","Castilho, M.",75,19
"d. Santos, F. M.","d. Santos, F. M.",77,36
"Holguin, M. G.","Holguin, M. G.",77,36
"Truzzi, F. S.","Truzzi, F. S.",78,36
"d. Silva, V. F.","d. Silva, V. F.",78,36
"Costa, A. H. R.","Costa, A. H. R.",78;218;230;320;420;431,36
"Braga, I.","Braga, I.",80,19
"Rodrigues, E.","Rodrigues, E.",81,24
