Dataset,SD-k20-foWRAcc,SDrss-k20-foWRAcc,SSDP-k20-foWRAcc,SSDPplusS10Pbest-k20-foWRAcc,SSDPplusS10Prb-k20-foWRAcc,SSDPplusS50Pbest-k20-foWRAcc,SSDPplusS50Prb-k20-foWRAcc,SSDPplusS90Pbest-k20-foWRAcc,SSDPplusS90Prb-k20-foWRAcc
alon-pn-freq-2,0.5454070981210856,0.40703125000000007,0.5283911825920566,0.2546010360374774,0.3771637357700964,0.34018266387437424,0.3393183548664053,0.4976378956359656,0.5025652998965763
burczynski-pn-freq-2,0.3387199819609906,0.285180454138148,0.3387199819609906,0.24785067436599034,0.3633074408109572,0.2299579211797748,0.22875598689744922,0.3155151252637201,0.31474253016546966
chiaretti-pn-freq-2,0.6121666220676126,0.5436243563261866,0.6073261380192078,0.26445340596064143,0.3782153544146519,0.38190798965881234,0.3791075358353365,0.6006686019598473,0.604583796068945
chin-pn-freq-2,0.25944751381215475,0.2368195718654434,0.25944751381215475,0.2297119857741589,0.3274409636327197,0.25398602480114396,0.2578597319503971,0.23925925925925945,0.23925925925925945
christensen-pn-freq-2,0.16598780255889725,0.14811875250781573,0.16683053803431644,0.3465608062143329,0.17481331512298542,0.2629028917186755,0.23208729056005595,0.15665333800972062,0.1599474003723288
gravier-pn-freq-2,0.7690762604057407,0.701333508124131,0.7434235170441276,0.2900358532725941,0.4296275065443537,0.45089024898944946,0.43354099200302193,0.6277308514471287,0.6149447951079637
nakayama-pn-freq-2,0.0639658848614073,0.04526166902404528,0.06659782369352932,0.23297961361905975,0.2807598803276373,0.08285562584777661,0.07961430723100413,0.05995299281789225,0.061068931021309045
tian-pn-freq-2,0.43318162301416907,0.39962503358121515,0.45171414246817526,0.28711106382908846,0.3612524480425412,0.34420092434702687,0.3446342136275907,0.45171414246817526,0.45327863178348676
yeoh-pn-freq-2,0.027861150985253786,0.02318642634732487,0.02893169029330086,0.24716760354959696,0.2171534105966466,0.13464588622124904,0.1276774400763961,0.039766341885123103,0.04001751652352204
zsun-pn-freq-2,0.3212161017352485,0.3108239583628517,0.32696619141426836,0.27470057547761334,0.4006510569288751,0.2928070950598653,0.29882958527754944,0.31619071521385134,0.3160666219139704
