Dataset,SD-k20-foWRAcc,SDrss-k20-foWRAcc,SSDP-k20-foWRAcc,SSDPplusS10Pbest-k20-foWRAcc,SSDPplusS10Prb-k20-foWRAcc,SSDPplusS50Pbest-k20-foWRAcc,SSDPplusS50Prb-k20-foWRAcc,SSDPplusS90Pbest-k20-foWRAcc,SSDPplusS90Prb-k20-foWRAcc
alon-pn-freq-2,0.5,0.25,0.465,0.17553613053613054,0.2683333333333333,0.13999999999999999,0.13499999999999998,0.43499999999999994,0.43499999999999994
burczynski-pn-freq-2,0.5499999999999999,0.29999999999999993,0.5499999999999999,0.12000000000000002,0.32166666666666666,0.145,0.13,0.35000000000000003,0.35000000000000003
chiaretti-pn-freq-2,0.7999999999999999,0.5,0.7849999999999999,0.12000000000000002,0.20369769119769118,0.12500000000000003,0.125,0.845,0.845
chin-pn-freq-2,0.09999999999999999,0.049999999999999996,0.09999999999999999,0.09999999999999999,0.3716666666666667,0.09999999999999999,0.10499999999999998,0.09999999999999999,0.09999999999999999
christensen-pn-freq-2,0.39999999999999997,0.25,0.39999999999999997,0.26278499278499273,0.8583333333333334,0.165,0.145,0.325,0.305
gravier-pn-freq-2,0.7000000000000001,0.5499999999999999,0.6500000000000001,0.12500000000000003,0.2504761904761905,0.13499999999999998,0.13499999999999998,0.47000000000000003,0.44000000000000006
nakayama-pn-freq-2,0.8499999999999999,0.95,0.865,0.11163742690058483,0.3836111111111111,0.19999999999999998,0.205,0.85,0.845
tian-pn-freq-2,0.29999999999999993,0.25,0.30499999999999994,0.10999999999999999,0.1622943722943723,0.049999999999999996,0.06999999999999999,0.30499999999999994,0.325
yeoh-pn-freq-2,0.95,0.8499999999999999,0.9,0.18,0.6883333333333332,0.095,0.11000000000000001,0.5700000000000001,0.53
zsun-pn-freq-2,0.6500000000000001,0.5999999999999999,0.71,0.11000000000000001,0.6497619047619048,0.135,0.09500000000000001,0.6500000000000001,0.65
