Dataset,MESDIF-SD,SDIGA-SD,SDk5,SSDP-k5-foQg,SSDP-k5-foWRAcc,NMEEF-SD
alon-pn-freq-2,1.0,null,24.4,24.8,7.533333333333333,1.0
burczynski-pn-freq-2,0.0,null,33.2,37.8,3.510476190476191,0.855072463768116
chiaretti-pn-freq-2,0.0,null,38.6,43.0,4.948484848484849,1.3454545454545455
chin-pn-freq-2,0.0,null,42.0,43.2,14.0,1.7045454545454546
christensen-pn-freq-2,1.0,null,99.2,99.2,60.15,1.0
gravier-pn-freq-2,1.0,null,41.8,46.0,13.29047619047619,2.269230769230769
nakayama-pn-freq-2,0.0,null,14.8,18.0,10.033333333333333,0.24705882352941178
sun-pn-freq-2,0.0,null,0.81,55.0,9.70952380952381,0.81
tian-pn-freq-2,0.0,null,56.6,56.4,13.764285714285714,3.7027027027027026
yeoh-pn-freq-2,0.0,null,70.6,76.6,27.416666666666664,0.4647058823529412
