Dataset,MESDIF-SD,SDIGA-SD,SDk5,SSDP-k5-foQg,SSDP-k5-foWRAcc,NMEEF-SD
alon-pn-freq-2,0.005723204994797087,null,0.13964620187304894,0.14193548387096774,0.13225806451612904,0.005723204994797083
burczynski-pn-freq-2,0.0,null,0.13997147994295986,0.15936511873023745,0.16167152334304666,0.0
chiaretti-pn-freq-2,0.0,null,0.1272216796875,0.1417236328125,0.1328125,0.0
chin-pn-freq-2,0.0,null,0.12970410801493826,0.1334099396725079,0.15677966101694918,0.0
christensen-pn-freq-2,0.002208583745673087,null,0.21909150757077023,0.21909150757077023,0.2245280214062732,0.0022085837456730893
gravier-pn-freq-2,0.0020195578231292518,null,0.08441751700680274,0.09289965986394559,0.1087797619047619,0.020833333333333315
nakayama-pn-freq-2,0.0,null,0.11276190476190476,0.13714285714285715,0.15047619047619049,0.0
sun-pn-freq-2,0.0,null,0.0,0.16805555555555557,0.18655555555555553,0.0
tian-pn-freq-2,0.0,null,0.06808112532994755,0.0678405559824919,0.07386815463263056,0.0
yeoh-pn-freq-2,0.0,null,0.1939938865764828,0.21048061914672217,0.21285770031217482,0.0
