Dataset,MESDIF-SD,SDIGA-SD,SDk5,SSDP-k5-foQg,SSDP-k5-foWRAcc,NMEEF-SD
audiology-pn,0.0,0.3392857142857143,40.6,30.8,12.739999999999998,5.692307692307693
breast-cancer-pn,11.4,3.4084770114942526,17.5,18.5,3.8206225028565455,3.7056225028565457
bridges-version2-pn,0.0,2.0,12.0,11.4,4.214177978883861,2.3529411764705883
car-pn,256.58692185007976,194.58753995069392,295.2,234.1059360730594,233.0812641570489,576.0
kr-vs-kp-pn,0.0,1.1269412559081702,275.8,129.1525641025641,9.473416723627249,2.768200589937076
lung-cancer-pn,0.0,0.7142857142857143,3.6,4.8,2.5333333333333328,2.154761904761904
molecular-biology-promoters-pn,0.0,0.8888888888888888,11.6,11.6,9.233333333333333,5.583333333333333
monks-problems-1-train-pn,4.3809523809523805,3.414814814814815,7.1,4.633333333333334,3.396666666666667,2.066666666666667
mushroom-pn,0.0,138.85616308539946,392.0,1126.4,24.517685911554565,15.240352838376786
nursery-pn,2160.166628095348,4320.0,4320.0,864.3998842940779,864.3998380325899,4320.0
postoperative-patient-data-pn,3.285714285714286,2.5657894736842106,6.7,5.4,5.926666666666667,3.0827141382868937
primary-tumor-pn,0.8694653299916458,0.34649122807017546,11.2,11.0,1.319760963570146,0.328125
shuttle-landing-control-pn,2.2666666666666666,1.8,2.6,2.04,2.1,1.8
solar-flare-2-pn,44.70945109504432,331.0,331.0,93.32609842462783,93.28099352952293,331.0
soybean-pn,0.0,0.16606498194945848,21.2,22.2,0.9919409327413184,0.1554054054054054
spect-test-pn,6.1190476190476195,8.86875,58.6,56.2,43.2,12.854615027829313
splice-pn,0.0,1.054245283018868,126.0,124.8,7.891843747299282,3.8402229319912244
tic-tac-toe-pn,32.96700037078235,33.36653058095183,38.0,53.8,4.601701236668193,3.935483870967742
trains-pn,0.0,0.8333333333333334,2.5,2.6,2.7,3.4573643410852712
vote-pn,0.0,16.724386724386726,128.6,145.0,33.94860398860398,42.166666666666664
